gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:99501
pvalue,1.18259
mouse_life_stage,E12.5
parameter_name,Shape of ribcage
analysis_id,k3417k46381r86k
