mouse_strain,C57BL
gene_symbol,Tox
pvalue,0.2560889
mouse_life_stage,Early adult
analysis_id,336bnxx9z564v9g
parameter_id,ESLIM_007_001_011
parameter_name,Centre resting time
gene_accession_id,MGI:2181659
