gene_symbol,Lurap1
parameter_id,IMPC_CBC_024_001
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_strain,C57BL
analysis_id,h53n928b6c848j3
mouse_life_stage,Early adult
pvalue,0.5942621
gene_accession_id,MGI:1915325
