analysis_id,ex5sq8madze0gb5
parameter_name,Tremor
gene_symbol,Psd4
mouse_strain,C57BL
gene_accession_id,MGI:2674093
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Early adult
pvalue,0.5478226
