analysis_id,4uu94139h1fwg74
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
pvalue,0.1162164
parameter_id,MGP_MLN_010_001
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
gene_symbol,Orc2
