gene_symbol,Duoxa2
parameter_name,Prepulse inhibition - PP4
analysis_id,3844r44ox83kiw9
gene_accession_id,MGI:1914061
mouse_strain,C57BL
parameter_id,ESLIM_011_001_704
pvalue,0.3930556
mouse_life_stage,Early adult
