analysis_id,yma71l5wq2675x1
gene_accession_id,MGI:1346344
pvalue,0.7964323
mouse_life_stage,Early adult
mouse_strain,B6J
parameter_id,ESLIM_007_001_007
gene_symbol,Nr0b2
parameter_name,Periphery resting time
