analysis_id,5ll3ib7x12i023i
pvalue,0.6583275
parameter_name,Total bilirubin
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Late adult
