gene_symbol,Nemp2
parameter_name,Anophthalmia
gene_accession_id,MGI:2444113
analysis_id,olq43i1ki3p1484
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7527898
