analysis_id,0339wx8rr0gdu4k
gene_accession_id,MGI:1919949
pvalue,0.6401701
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_003_001
gene_symbol,Lime1
parameter_name,Lean mass
