parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
analysis_id,3kh5e89odcu4hv9
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
pvalue,0.8645598
