parameter_id,IMPC_FEA_107_001
mouse_life_stage,E18.5
gene_symbol,Nanp
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
pvalue,0.1756916
gene_accession_id,MGI:1914561
analysis_id,8cmt0ns57j1scrp
mouse_strain,C57BL
