mouse_strain,129SV
parameter_name,Number of rears - total
pvalue,0.3285633
mouse_life_stage,Early adult
parameter_id,JAX_OFD_021_001
gene_symbol,Arpc2
analysis_id,2kcz7wsw87di4f2
gene_accession_id,MGI:1923959
