analysis_id,s837ay2mn2hi3k5
pvalue,0.8348743
parameter_id,MGP_PBI_033_001
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD8+ KLRG1+ alpha beta T cell number
