analysis_id,x99diqg0f3o0o8e
pvalue,0.8277388
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
parameter_name,Tibia
