parameter_id,JAXLA_DXA_009_001
analysis_id,r28s32926gq8g23
parameter_name,Fat/Body weight
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.9949363
