gene_symbol,Cds2
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of CD45+
analysis_id,r7m9g256ktzz05p
gene_accession_id,MGI:1332236
pvalue,0.3333131
mouse_strain,129SV
parameter_id,MGP_IMM_099_001
