gene_symbol,Kif24
pvalue,0.3054674
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:1918345
mouse_strain,C57BL
analysis_id,g29okh6l7818978
parameter_name,Total CD4+ T cells - % of CD45+
