analysis_id,t7q41em48q126bp
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_name,Caudal processes
pvalue,0.9529271
