gene_symbol,Hpca
analysis_id,1f89d9o180nrt18
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:1336200
pvalue,0.07783535
