gene_symbol,Trp53i11
parameter_id,IMPC_IMM_005_002
pvalue,0.346561
gene_accession_id,MGI:2670995
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
analysis_id,nwjpa7yo9s1ge4i
mouse_life_stage,Early adult
mouse_strain,C57BL
