analysis_id,2ff999v97x47xr9
gene_accession_id,MGI:894679
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
pvalue,0.3904668
gene_symbol,Bach2
mouse_life_stage,Early adult
mouse_strain,C57BL
