parameter_id,M-G-P_016_001_001
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
pvalue,0.3878464
parameter_name,White blood cell-count
mouse_strain,C57BL
gene_symbol,Zyg11b
analysis_id,9wt38a118h9ezmn
