parameter_name,Center permanence time
gene_accession_id,MGI:1914050
analysis_id,7vlz74j4eye0ddb
gene_symbol,Trp53rkb
parameter_id,IMPC_OFD_016_001
pvalue,0.9617844
mouse_strain,C57BL
mouse_life_stage,Early adult
