parameter_name,Response amplitude - S
mouse_life_stage,Early adult
analysis_id,1nxvzjy59mb95m5
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
pvalue,0.2676775
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
