parameter_name,Red blood cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6927194
analysis_id,7mw78c557411en3
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
parameter_id,IMPC_HEM_002_001
