analysis_id,60tx384609uogy1
gene_symbol,Bmi1
parameter_id,MGP_IMM_027_001
pvalue,0.5156391
mouse_strain,C57BL
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
