gene_symbol,Etfdh
mouse_strain,C57BL
analysis_id,d693j2n97661f43
parameter_name,Conditioning Baseline % Freezing Time
pvalue,0.965687
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
parameter_id,IMPC_FEA_003_001
