gene_symbol,Psmd14
parameter_id,IMPC_ABR_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
analysis_id,4w3jr5tgb858iot
pvalue,0.9042527
