gene_symbol,Dmap1
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
pvalue,0.5089815
analysis_id,0rou4dp0559g4s3
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
