gene_symbol,Dcaf10
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
analysis_id,16k6j9oy32t0ela
pvalue,0.1030827
gene_accession_id,MGI:2140179
parameter_name,Bone Area
mouse_life_stage,Early adult
