parameter_name,Neural tube morphology
gene_symbol,Nanp
parameter_id,IMPC_GEL_060_001
pvalue,0.7411161
gene_accession_id,MGI:1914561
mouse_strain,C57BL
analysis_id,04k4ac3u3x21887
mouse_life_stage,Early adult
