parameter_name,Calcium
analysis_id,0v16ggus5a2dt37
mouse_life_stage,Early adult
pvalue,0.3463089
gene_accession_id,MGI:1913838
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
gene_symbol,Cmpk1
