analysis_id,gs110a6xv7drju5
gene_symbol,Gfi1b
parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
pvalue,0.6683997
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1276578
