analysis_id,k0990ls48m221u0
parameter_name,Potassium
mouse_life_stage,Early adult
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_strain,C57BL
pvalue,0.257473
parameter_id,GMC_906_001_005
