gene_symbol,Pglyrp3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685266
analysis_id,rfm80326d0zi639
pvalue,0.8690679
parameter_name,White blood cell-count
parameter_id,M-G-P_016_001_001
