analysis_id,pxf4w751a7wxq35
mouse_strain,C57BL
gene_symbol,Slc30a4
mouse_life_stage,Late adult
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1345282
parameter_id,MGP_IMM_089_001
pvalue,0.6973821
