analysis_id,lit88q2fwax9cq4
pvalue,0.4579892
parameter_id,JAXLA_GRS_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Maco1
gene_accession_id,MGI:1913396
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
