gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
analysis_id,26363901l9491f9
parameter_id,M-G-P_009_001_003
pvalue,0.5854621
gene_accession_id,MGI:1924360
parameter_name,Body weight
mouse_strain,C57BL
