gene_symbol,Lurap1
pvalue,0.6308872
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915325
parameter_name,Eosinophil cell count
analysis_id,3jts8fk2b89tv8x
parameter_id,IMPC_HEM_036_001
