parameter_name,Weight
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
analysis_id,0tdj39n342pl20e
pvalue,0.3212899
gene_symbol,Ift74
mouse_strain,C57BL
gene_accession_id,MGI:1914944
