analysis_id,3bs15sh19a6awe0
parameter_name,Dark side time spent
parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
gene_symbol,Slc28a2
mouse_strain,C57BL
pvalue,0.292815
gene_accession_id,MGI:1913105
