analysis_id,9d8z3wqd888cl27
parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:103302
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
gene_symbol,Bmp7
mouse_life_stage,Early adult
pvalue,0.2250512
