gene_symbol,Nucks1
analysis_id,w48u6813vv5584o
mouse_strain,C57BL
parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1934811
pvalue,0.5026461
