parameter_name,Liver weight
gene_symbol,Zcchc2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2186964
gene_accession_id,MGI:2444114
analysis_id,846phcbb0110836
parameter_id,UCD_OWT_008_001
