parameter_name,Hemoglobin
analysis_id,q3j300o89418f3c
gene_accession_id,MGI:2685277
mouse_strain,C57BL
gene_symbol,Zyg11b
pvalue,0.1117456
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
