parameter_id,IMPC_CBC_011_001
pvalue,0.7892028
gene_accession_id,MGI:1920344
analysis_id,d9s00n36d1tgfi9
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_name,Iron
mouse_strain,C57BL
