analysis_id,r618b368oo2qsnd
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_067_001
gene_symbol,TIPRL
pvalue,0.2217791
mouse_life_stage,Early adult
