analysis_id,u54v17v45sr88w3
pvalue,0.9581127
parameter_id,MGP_MLN_032_001
parameter_name,Effector NK cells - % of NK cells
gene_symbol,Dmap1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
