gene_symbol,Ifi44
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
gene_accession_id,MGI:2443016
mouse_life_stage,Early adult
parameter_name,Percentage center time
pvalue,0.6580849
analysis_id,i13sp34uljddg7k
