analysis_id,9b596tnbjy53vfr
parameter_name,Lumbar processes
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
pvalue,0.09114889
mouse_life_stage,Middle aged adult
