parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
gene_symbol,Atrn
mouse_life_stage,Early adult
analysis_id,4l673q5ai8l95q6
gene_accession_id,MGI:1341628
mouse_strain,C57BL
pvalue,0.2520045
