parameter_name,Monocytes
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
mouse_life_stage,Early adult
analysis_id,2t11465v3bj914p
gene_accession_id,MGI:99501
gene_symbol,Fgb
pvalue,0.9651156
