parameter_id,HMGULA_HEM_001_001
gene_symbol,Mapkap1
mouse_life_stage,E15.5
analysis_id,pln80m86g4i40vz
mouse_strain,C57BL
parameter_name,White blood cell count
pvalue,0.1760281
gene_accession_id,MGI:2444554
