gene_symbol,Bdh2
analysis_id,7ndhc171gnx4slx
pvalue,0.305239
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:1917022
parameter_name,Thoracic processes
mouse_strain,C57BL
