analysis_id,t98jvfdi045j783
parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
gene_symbol,Kifap3
pvalue,0.239271
