parameter_id,IMPC_OWT_004_001
gene_symbol,Golm2
parameter_name,Right kidney weight
pvalue,0.53827
gene_accession_id,MGI:2443129
analysis_id,78r767637026v32
mouse_strain,C57BL
mouse_life_stage,Early adult
