analysis_id,mcy94057vn3p0on
parameter_name,Center average speed
gene_accession_id,MGI:1933159
pvalue,0.5475738
gene_symbol,Rnf114
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_017_001
