analysis_id,x9s3eh42030949b
mouse_strain,C57BL
pvalue,0.6526647
parameter_name,Center average speed
mouse_life_stage,E9.5
parameter_id,JAX_OFD_017_001
gene_symbol,Eprs1
gene_accession_id,MGI:97838
