analysis_id,35680b56yj0w528
pvalue,0.4388577
gene_accession_id,MGI:95835
parameter_name,Heart weight
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
gene_symbol,Hspa5
