analysis_id,c0j29phb19p418a
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_027_001
pvalue,0.3700494
