gene_symbol,Ntmt2
analysis_id,s016782yuf54080
parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:2685053
mouse_strain,C57BL
pvalue,0.8249285
mouse_life_stage,Early adult
