gene_symbol,Rnf114
pvalue,0.5183872
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
analysis_id,rl4d994i8lyy2d4
mouse_strain,C57BL
