analysis_id,qyw218itd7su756
parameter_id,MGP_IMM_026_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
pvalue,0.1618261
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
